config_id,point_id,plane_name,polar_name,alpha_deg,beta_deg,speed_m_s,control_parameter,density_kg_m3,ref_area_m2,ref_chord_m,ref_span_m,mass_kg,cg_x_m,cg_y_m,cg_z_m,CL_trim,CD_trim,Cm_trim,xNP_m,input_unit,long_state_order,lat_state_order,B_long_1,B_long_2,B_long_3,B_long_4,B_lat_1,B_lat_2,B_lat_3,B_lat_4
CFG014,20,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),2.6591700839298826,0,7.891426761010909,-1.0999999999999999,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.9685345097463992,0.03094505638565427,0.003029428164616224,0.14883093592103408,rad,"[u,w,q,theta]","[v,p,r,phi]",-0.00904043871359669,-3.1973153567106225,-59.45453144429072,0,-1.0156140883107916e-12,2.823948762053452e-10,-1.2920581401962772e-7,0
CFG014,21,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),2.463255137492784,0,7.974536001162279,-1,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.9491993240318415,0.030263097476291828,0.0030366735109185593,0.14844950681860292,rad,"[u,w,q,theta]","[v,p,r,phi]",-0.007875213345713795,-3.26461382410301,-60.71392473014102,0,-2.312586638981548e-12,1.3415930847587308e-9,-6.930462698107521e-7,0
CFG014,22,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),2.2650368012095674,0,8.061325689745576,-0.8999999999999999,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.9296148288613948,0.029581050988174314,0.003039761625610396,0.1480615913813819,rad,"[u,w,q,theta]","[v,p,r,phi]",-0.006088787825936348,-3.3356684282016036,-62.04417119004582,0,-1.1023193377577672e-12,-1.687396445710462e-11,1.1144925204001593e-8,0
CFG014,23,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),2.0644418319729776,0,8.15203910165882,-0.7999999999999998,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.9097733630304544,0.028901841760774635,0.00304508691520696,0.147621350900189,rad,"[u,w,q,theta]","[v,p,r,phi]",-0.004161272845228835,-3.410781432020778,-63.45033384745885,0,-8.569209849656316e-13,-1.2953147743250678e-9,8.007465801932817e-7,0
CFG014,24,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),1.8614045941214845,0,8.247019813622154,-0.6999999999999997,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.8896680352789892,0.02822081354988275,0.0030471119924221825,0.1472288204360333,rad,"[u,w,q,theta]","[v,p,r,phi]",-0.0017493392206477112,-3.490353444610853,-64.9401549768982,0,-1.5227484734440863e-12,4.740405841942816e-10,-3.8060274618187286e-7,0
CFG014,25,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),1.655824110554575,0,8.346575859781522,-0.5999999999999996,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.8692883530265204,0.027546855948571314,0.003049135850306414,0.14679846796387164,rad,"[u,w,q,theta]","[v,p,r,phi]",0.0012528409594696585,-3.5747729823393857,-66.52097823641743,0,6.787442914367162e-13,8.96174587121406e-11,-9.287086366661998e-8,0
CFG014,26,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),1.447622814216753,0,8.451097644346532,-0.5,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.8486262008401717,0.026871330701295194,0.003047617873181116,0.1463256620793627,rad,"[u,w,q,theta]","[v,p,r,phi]",0.003202419216054044,-3.664518552325497,-68.19963204267913,0,9.351870231446358e-13,4.613282424340697e-10,-5.632497554723183e-7,0
CFG014,27,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),1.2367202597944762,0,8.560994412903847,-0.3999999999999999,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.8276731688770684,0.02620306987425118,0.003049207192714683,0.14600757484683774,rad,"[u,w,q,theta]","[v,p,r,phi]",0.005612652937113,-3.7601086364657617,-69.98844915107807,0,-9.459973426888445e-13,4.973243772601477e-11,-1.8097891219717643e-7,0
CFG014,28,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),1.0230011370315144,0,8.67675027531452,-0.2999999999999998,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.8064172880260688,0.025525891904598884,0.003047367729218051,0.14555424426540242,rad,"[u,w,q,theta]","[v,p,r,phi]",0.00878963391209829,-3.8621547997396912,-71.8979298905935,0,4.4245054743415184e-13,-4.78334269526323e-10,0.0000017665644474273832,0
CFG014,29,（选定1）1.AR20.03.6 youhua a2.5-1翼梢反扭 上反6,T7-VLM2-Elev(g1.0),0.8063697852889297,0,8.798884523894817,-0.19999999999999973,1.225,1.7359216918244043,0.2801882028918979,6.294581594508789,6.606000000000001,0.11550723192904061,4.787382549898761e-17,0.021226863224315055,0.784848589355925,0.02485157984921586,0.003044035038750729,0.14507838002729637,rad,"[u,w,q,theta]","[v,p,r,phi]",0.012654693574388563,-3.971332725593829,-73.94121164368363,0,-3.069994088746002e-13,-5.1033801535130184e-11,6.554964724772684e-7,0
