"TimeUS","DesRoll","Roll","DesPitch","Pitch","DesYaw","Yaw","AEKF","ap_time_s"
"7199978","14.049999","12.92486","0.63","0.71583396","0","16.2713","0","7.199978"
"7239978","14.049999","12.991541","0.63","0.698374","0","16.735186","0","7.239978"
"7279978","14.049999","13.059581","0.63","0.68794477","0","17.205906","0","7.279978"
"7319978","14.049999","13.131926","0.63","0.684334","0","17.683609","0","7.319978"
"7359978","14.049999","13.202694","0.68","0.6883455","0","18.161392","0","7.359978"
"7399978","14.049999","13.269109","0.68","0.6994719","0","18.635757","0","7.399978"
"7439978","14.049999","13.330442","0.68","0.71659845","0","19.104824","0","7.439978"
"7479978","14.049999","13.385136","0.68","0.73992616","0","19.562012","0","7.479978"
"7519978","14.049999","13.431522","0.72999996","0.7675919","0","20.008543","0","7.519978"
"7559978","14.049999","13.468948","0.68","0.79848933","0","20.440573","0","7.559978"
"7599978","14.049999","13.4981365","0.68","0.83019346","0","20.857761","0","7.599978"
"7639978","14.049999","13.519061","0.71999997","0.86044425","0","21.261465","0","7.639978"
"7679978","14.049999","13.532863","0.71999997","0.8881964","0","21.649153","0","7.679978"
"7719978","14.049999","13.540963","0.71999997","0.91085255","0","22.025967","0","7.719978"
"7759978","14.049999","13.537009","0.71999997","0.92858136","0","22.39205","0","7.759978"
"7799978","14.049999","13.529382","0.78","0.94163245","0","22.74993","0","7.799978"
"7839978","14.049999","13.518362","0.78","0.94909954","0","23.105036","0","7.839978"
"7879978","14.049999","13.505071","0.74","0.95348954","0","23.456661","0","7.879978"
"7919978","14.049999","13.490566","0.78999996","0.9547089","0","23.81187","0","7.919978"
"7959978","14.049999","13.472831","0.78999996","0.95389915","0","24.17124","0","7.959978"
"7999978","14.049999","13.452712","0.83","0.95255315","0","24.53806","0","7.999978"
"8039978","14.049999","13.435893","0.83","0.95055664","0","24.917963","0","8.039978"
"8079978","14.049999","13.423457","0.83","0.949545","0","25.307348","0","8.079978"
"8119978","14.049999","13.416039","0.89","0.9496242","0","25.71358","0","8.119978"
"8159978","14.049999","13.413215","0.84999996","0.9520332","0","26.13424","0","8.159978"
"8199978","14.049999","13.416876","0.9","0.95524204","0","26.569193","0","8.199978"
"8239978","14.049999","13.425222","0.9","0.96068347","0","27.021118","0","8.239978"
"8279978","14.049999","13.438854","0.95","0.9696703","0","27.482471","0","8.279978"
"8319978","14.049999","13.456357","0.95","0.97892636","0","27.957516","0","8.319978"
"8359978","14.049999","13.477105","1","0.9897756","0","28.440845","0","8.359978"
"8399978","14.049999","13.502778","1","1.002313","0","28.930105","0","8.399978"
"8439978","14.049999","13.532624","1","1.0155784","0","29.42625","0","8.439978"
"8479978","14.049999","13.56391","1","1.0316797","0","29.920424","0","8.479978"
"8519978","14.049999","13.595331","1.05","1.047488","0","30.415882","0","8.519978"
"8559978","14.049999","13.624306","1.05","1.0632823","0","30.9073","0","8.559978"
"8599978","14.049999","13.650973","1.1","1.0791038","0","31.392889","0","8.599978"
"8639978","14.049999","13.675119","1.06","1.0934037","0","31.873524","0","8.639978"
"8679978","14.049999","13.694907","1.1","1.1091514","0","32.343365","0","8.679978"
"8719978","14.049999","13.709796","1.1","1.1248866","0","32.8071","0","8.719978"
"8759978","14.049999","13.720266","1.16","1.1411905","0","33.261955","0","8.759978"
"8799978","14.049999","13.727015","1.2099999","1.1587851","0","33.708424","0","8.799978"
"8839978","14.049999","13.729337","1.16","1.1762434","0","34.150276","0","8.839978"
"8879978","14.049999","13.726908","1.2099999","1.1962557","0","34.5832","0","8.879978"
"8919978","14.049999","13.722077","1.26","1.2190304","0","35.014538","0","8.919978"
"8959978","14.049999","13.7159","1.26","1.2442015","0","35.44325","0","8.959978"
"8999978","14.049999","13.708189","1.31","1.2712868","0","35.87048","0","8.999978"
"9039978","14.049999","13.699267","1.3199999","1.2994758","0","36.30236","0","9.039978"
"9079978","14.049999","13.687953","1.3199999","1.3275098","0","36.734257","0","9.079978"
"9119978","14.049999","13.677672","1.37","1.354786","0","37.174297","0","9.119978"
"9159978","14.049999","13.66794","1.42","1.3805788","0","37.620285","0","9.159978"
"9199978","14.049999","13.659981","1.4699999","1.4035149","0","38.073547","0","9.199978"
"9239978","14.049999","13.6540575","1.42","1.4228139","0","38.538204","0","9.239978"
"9279978","14.049999","13.65202","1.4599999","1.4398141","0","39.00821","0","9.279978"
"9319978","14.049999","13.656437","1.52","1.4519057","0","39.490368","0","9.319978"
"9359978","14.049999","13.66576","1.5699999","1.4613696","0","39.980263","0","9.359978"
"9399978","14.049999","13.678864","1.5799999","1.4696","0","40.478104","0","9.399978"
"9439978","14.049999","13.695583","1.63","1.4782755","0","40.985664","0","9.439978"
"9479978","14.049999","13.713245","1.63","1.4898318","0","41.494404","0","9.479978"
"9519978","14.049999","13.733344","1.67","1.5015275","0","42.01083","0","9.519978"
"9559978","14.049999","13.752802","1.67","1.5176871","0","42.529037","0","9.559978"
"9599978","14.049999","13.772298","1.73","1.5402699","0","43.048695","0","9.599978"
"9639978","14.049999","13.791586","1.78","1.5680816","0","43.57086","0","9.639978"
"9679978","14.049999","13.809922","1.8299999","1.6026516","0","44.085938","0","9.679978"
"9719978","14.049999","13.828164","1.8399999","1.6403708","0","44.599876","0","9.719978"
"9759978","14.049999","13.845249","1.89","1.6809816","0","45.106464","0","9.759978"
"9799978","14.049999","13.860852","1.9399999","1.7241117","0","45.605453","0","9.799978"
"9839978","14.049999","13.874407","1.9499999","1.7671176","0","46.099155","0","9.839978"
"9879978","14.049999","13.884441","2","1.8118691","0","46.580524","0","9.879978"
"9919978","14.049999","13.889061","2.05","1.8552111","0","47.057186","0","9.919978"
"9959978","14.049999","13.886753","2.05","1.8944972","0","47.525627","0","9.959978"
"9999978","14.049999","13.881272","2.09","1.9309019","0","47.988346","0","9.999978"
"10039978","14.049999","13.872473","2.1499999","1.9640166","0","48.450363","0","10.039978"
"10079978","14.049999","13.862061","2.2","1.9955952","0","48.906364","0","10.079978"
"10119978","14.049999","13.850627","2.21","2.0239017","0","49.366524","0","10.119978"
"10159978","14.049999","13.838271","2.26","2.0491695","0","49.828373","0","10.159978"
"10199978","14.049999","13.827065","2.3","2.072699","0","50.294674","0","10.199978"
"10239978","14.049999","13.819529","2.31","2.0953422","0","50.77125","0","10.239978"
"10279978","14.049999","13.815655","2.4099998","2.1217334","0","51.251804","0","10.279978"
"10319978","14.049999","13.815196","2.46","2.1490893","0","51.745438","0","10.319978"
"10359978","14.049999","13.818074","2.47","2.1790025","0","52.247894","0","10.359978"
"10399978","14.049999","13.825138","2.52","2.2086732","0","52.759098","0","10.399978"
"10439978","14.049999","13.83546","2.57","2.2406437","0","53.28271","0","10.439978"
"10479978","14.049999","13.848891","2.57","2.2764578","0","53.809967","0","10.479978"
"10519978","14.049999","13.865115","2.6699998","2.3141327","0","54.3469","0","10.519978"
"10559978","14.049999","13.883619","2.72","2.353958","0","54.88677","0","10.559978"
"10599978","14.049999","13.90498","2.73","2.3950188","0","55.427612","0","10.599978"
"10639978","14.04","13.926517","2.78","2.4286797","0","55.96964","0","10.639978"
"10679978","14.04","13.943884","2.8799999","2.4719658","0","56.482002","0","10.679978"
"10719978","14.04","13.9606495","2.8799999","2.5318885","0","57.00979","0","10.719978"
"10759978","14.04","13.977601","2.9299998","2.612673","0","57.555405","0","10.759978"
"10799978","14.04","13.993903","3.03","2.693507","0","58.116272","0","10.799978"
"10839978","14.04","14.174335","3.03","2.745711","0","58.7026","0","10.839978"
"10879978","14.04","14.354946","3.09","2.7835944","0","59.29999","0","10.879978"
"10919978","14.04","14.535822","3.1899998","2.8012767","0","59.916103","0","10.919978"
"10959978","14.04","14.715157","3.1999998","2.8003273","0","60.548504","0","10.959978"
"10999978","14.04","14.890447","3.24","2.7810326","0","61.19568","0","10.999978"
"11039978","14.04","15.061135","3.3","2.7478871","0","61.861942","0","11.039978"
"11079978","14.04","15.223371","3.35","2.7070985","0","62.5407","0","11.079978"
"11119978","14.04","15.37731","3.3999999","2.6634505","0","63.236683","0","11.119978"
"11159978","14.04","15.521005","3.46","2.6227305","0","63.946056","0","11.159978"
"11199978","14.04","15.653143","3.5","2.588935","0","64.66802","0","11.199978"
"11239978","14.04","15.772103","3.56","2.5630953","0","65.4042","0","11.239978"
"11279978","14.04","15.878934","3.6","2.5517952","0","66.14709","0","11.279978"
"11319978","14.04","15.972704","3.6599998","2.5567727","0","66.90051","0","11.319978"
"11359978","14.04","16.054163","3.76","2.5794284","0","67.65974","0","11.359978"
"11399978","14.04","16.12323","3.76","2.619556","0","68.42173","0","11.399978"
"11439978","14.04","16.174871","3.82","2.672769","0","69.18669","0","11.439978"
"11479978","14.04","16.213686","3.87","2.7380905","0","69.94776","0","11.479978"
"11519978","14.04","16.239944","3.9199998","2.8109958","0","70.70669","0","11.519978"
"11559978","14.04","16.255625","4.02","2.8883224","0","71.459236","0","11.559978"
"11599978","14.04","16.26164","4.0299997","2.9651136","0","72.20374","0","11.599978"
"11639978","14.04","16.251072","4.08","3.038637","0","72.93995","0","11.639978"
"11679978","14.04","16.232769","4.18","3.106877","0","73.66496","0","11.679978"
"11719978","14.04","16.207228","4.18","3.167675","0","74.38113","0","11.719978"
"11759978","14.03","16.174593","4.23","3.2208023","0","75.08656","0","11.759978"
"11799978","14.03","16.13708","4.2799997","3.2658632","0","75.78198","0","11.799978"
"11839978","14.03","16.090076","4.33","3.3022134","0","76.46904","0","11.839978"
"11879978","14.03","16.04043","4.39","3.33302","0","77.1462","0","11.879978"
"11919978","14.03","15.989525","4.44","3.36004","0","77.81734","0","11.919978"
"11959978","14.03","15.936393","4.49","3.3866422","0","78.4816","0","11.959978"
"11999978","14.03","15.882378","4.5","3.4144442","0","79.14106","0","11.999978"
"12039978","14.03","15.821222","4.5499997","3.4450593","0","79.79861","0","12.039978"
"12079978","14.03","15.760586","4.6","3.48055","0","80.451126","0","12.079978"
"12119978","14.03","15.703316","4.65","3.5207624","0","81.102745","0","12.119978"
"12159978","14.03","15.64773","4.65","3.566608","0","81.75156","0","12.159978"
"12199978","14.03","15.595286","4.74","3.6169863","0","82.39805","0","12.199978"
"12239978","14.03","15.541649","4.74","3.6705666","0","83.0434","0","12.239978"
"12279978","14.03","15.491244","4.7999997","3.726664","0","83.68201","0","12.279978"
"12319978","14.03","15.445015","4.85","3.7814069","0","84.317665","0","12.319978"
"12359978","14.0199995","15.401869","4.8599997","3.8365755","0","84.94867","0","12.359978"
"12399978","14.0199995","15.362295","4.91","3.8920925","0","85.573395","0","12.399978"
"12439978","14.0199995","15.322675","4.96","3.9470406","0","86.193596","0","12.439978"
"12479978","14.0199995","15.284542","5.0099998","4.00079","0","86.80418","0","12.479978"
"12519978","14.0199995","15.248851","5.06","4.0526056","0","87.40882","0","12.519978"
"12559978","14.0199995","15.215905","5.1099997","4.1028495","0","88.00582","0","12.559978"
"12599978","14.0199995","15.184089","5.1099997","4.150794","0","88.59405","0","12.599978"
"12639978","14.0199995","15.1493025","5.1099997","4.1977935","0","89.17594","0","12.639978"
"12679978","14.0199995","15.11608","5.16","4.2456284","0","89.747505","0","12.679978"
"12719978","14.0199995","15.084869","5.16","4.2919955","0","90.3127","0","12.719978"
"12759978","14.0199995","15.053485","5.21","4.3361497","0","90.86918","0","12.759978"
"12799978","14.009999","15.022925","5.2599998","4.377237","0","91.4175","0","12.799978"
"12839978","14.009999","14.989535","5.2599998","4.4164987","0","91.95972","0","12.839978"
"12879978","14.009999","14.957967","5.31","4.4541473","0","92.49296","0","12.879978"
"12919978","14.009999","14.926624","5.31","4.4905963","0","93.021515","0","12.919978"
"12959978","14.009999","14.895655","5.3599997","4.525365","0","93.543785","0","12.959978"
"12999978","14.009999","14.867115","5.3599997","4.559277","0","94.06039","0","12.999978"
"13039978","14.009999","14.8369","5.4","4.592765","0","94.57391","0","13.039978"
"13079978","14.009999","14.807909","5.4","4.626229","0","95.081116","0","13.079978"
"13119978","14.009999","14.780592","5.46","4.6586037","0","95.58626","0","13.119978"
"13159978","14.009999","14.75615","5.46","4.690563","0","96.08788","0","13.159978"
"13199978","14.009999","14.734133","5.46","4.720972","0","96.586044","0","13.199978"
"13239978","14.009999","14.710784","5.5099998","4.7504516","0","97.08264","0","13.239978"
"13279978","14.009999","14.689315","5.5099998","4.778203","0","97.57365","0","13.279978"
"13319978","14.009999","14.671404","5.56","4.8036504","0","98.0641","0","13.319978"
"13359978","14.009999","14.655821","5.56","4.8273253","0","98.55194","0","13.359978"
"13399978","14","14.641331","5.56","4.8501835","0","99.036125","0","13.399978"
"13439978","14","14.624534","5.56","4.871567","0","99.51697","0","13.439978"
"13479978","14","14.611009","5.66","4.8921046","0","99.99332","0","13.479978"
"13519978","14","14.599831","5.66","4.9107795","0","100.46816","0","13.519978"
"13559978","14","14.589773","5.66","4.929792","0","100.93988","0","13.559978"
"13599978","14","14.580399","5.66","4.950063","0","101.40885","0","13.599978"
"13639978","14","14.567618","5.66","4.9721694","0","101.87615","0","13.639978"
"13679978","14","14.556372","5.71","4.9945893","0","102.33844","0","13.679978"
"13719978","14","14.548","5.71","5.015766","0","102.798615","0","13.719978"
"13759978","14","14.541303","5.71","5.0361676","0","103.25478","0","13.759978"
