"TimeUS","Name","Value","Default","ap_time_s"
"3059985","STEER2SRV_TCONST","0.75","0.75","3.059985"
"3059985","STEER2SRV_P","1.8","1.8","3.059985"
"3059985","STEER2SRV_I","0.2","0.2","3.059985"
"3059985","STEER2SRV_D","0.005","0.005","3.059985"
"3059985","STEER2SRV_IMAX","1500","1500","3.059985"
"3059985","STEER2SRV_MINSPD","1","1","3.059985"
"3059985","STEER2SRV_FF","0","0","3.059985"
"3059985","STEER2SRV_DRTSPD","0","0","3.059985"
"3059985","STEER2SRV_DRTFCT","10","10","3.059985"
"3059985","STEER2SRV_DRTMIN","4500","4500","3.059985"
"3059985","COMPASS_OFS_X","5","0","3.059985"
"3059985","COMPASS_OFS_Y","13","0","3.059985"
"3059985","COMPASS_OFS_Z","-18","0","3.059985"
"3059985","COMPASS_DEC","0","0","3.059985"
"3059985","COMPASS_LEARN","0","0","3.059985"
"3059985","COMPASS_USE","1","1","3.059985"
"3059985","COMPASS_AUTODEC","1","1","3.059985"
"3059985","COMPASS_MOTCT","0","0","3.059985"
"3059985","COMPASS_MOT_X","0","0","3.059985"
"3059985","COMPASS_MOT_Y","0","0","3.059985"
"3059985","COMPASS_MOT_Z","0","0","3.059985"
"3059985","COMPASS_ORIENT","0","0","3.059985"
"3059985","COMPASS_EXTERNAL","1","0","3.059985"
"3059985","COMPASS_OFS2_X","5","0","3.059985"
"3059985","COMPASS_OFS2_Y","13","0","3.059985"
"3059985","COMPASS_OFS2_Z","-18","0","3.059985"
"3059985","COMPASS_MOT2_X","0","0","3.059985"
"3059985","COMPASS_MOT2_Y","0","0","3.059985"
"3059985","COMPASS_MOT2_Z","0","0","3.059985"
"3059985","COMPASS_OFS3_X","5","0","3.059985"
"3059985","COMPASS_OFS3_Y","13","0","3.059985"
"3059985","COMPASS_OFS3_Z","-18","0","3.059985"
"3059985","COMPASS_MOT3_X","0","0","3.059985"
"3059985","COMPASS_MOT3_Y","0","0","3.059985"
"3059985","COMPASS_MOT3_Z","0","0","3.059985"
"3059985","COMPASS_DEV_ID","97539","0","3.059985"
"3059985","COMPASS_DEV_ID2","131874","0","3.059985"
"3059985","COMPASS_DEV_ID3","263178","0","3.059985"
"3059985","COMPASS_USE2","1","1","3.059985"
"3059985","COMPASS_ORIENT2","0","0","3.059985"
"3059985","COMPASS_EXTERN2","0","0","3.059985"
"3059985","COMPASS_USE3","1","1","3.059985"
"3059985","COMPASS_ORIENT3","0","0","3.059985"
"3059985","COMPASS_EXTERN3","0","0","3.059985"
"3059985","COMPASS_DIA_X","1","1","3.059985"
"3059985","COMPASS_DIA_Y","1","1","3.059985"
"3059985","COMPASS_DIA_Z","1","1","3.059985"
"3059985","COMPASS_ODI_X","0","0","3.059985"
