"TimeUS","Tar","Act","Err","P","I","D","FF","DFF","Dmod","SRate","Flags","ap_time_s"
"18279978","2.1000857","0.45620617","0.029007163","0.5686699","-2.2802992","-0.0016086341","1.6822685","-0","1","1.2408531","0","18.279978"
"18319978","1.9750662","0.45559323","0.028413504","0.5570316","-2.2407777","-0.026919289","1.6547908","-0","1","1.2208252","0","18.319978"
"18359978","2.0750608","0.46026534","0.028002195","0.548968","-2.2023585","-0.00850973","1.6381779","0","1","1.229758","0","18.359978"
"18399978","2.0750659","0.46736234","0.02806906","0.5502789","-2.163788","0.00014809593","1.646878","0","1","1.2357767","0","18.399978"
"18439978","1.9750786","0.4745892","0.02757081","0.540511","-2.1255534","-0.02041036","1.626547","-0","1","1.2391974","0","18.439978"
"18479978","2.0000958","0.48026586","0.027136747","0.53200144","-2.088174","-0.0132558225","1.6114781","-0","1","1.240308","0","18.479978"
"18519978","2.000118","0.48236603","0.027011994","0.5295557","-2.0510144","-0.005292034","1.6075226","-0","1","1.2223475","0","18.519978"
"18559978","2.0001419","0.4796434","0.02668978","0.5232389","-2.0144486","-0.0018091354","1.5893387","0","1","1.1985626","0","18.559978"
"18599978","2.0251677","0.47108427","0.027138462","0.53203505","-1.9773426","0.014220959","1.6027102","0","1","1.1757195","0","18.599978"
"18639978","1.9251925","0.4560019","0.027174408","0.53273976","-1.9398351","-0.0027825374","1.5889133","-0","1","1.1537812","0","18.639978"
"18679978","1.9502118","0.4358749","0.027267676","0.5345682","-1.9024564","0.0047674067","1.5768821","-0","1","1.1080914","0","18.679978"
"18719978","1.9752262","0.41288784","0.027750764","0.5440389","-1.8645267","0.016477041","1.5800666","0","1","1.064211","0","18.719978"
"18759978","2.0002332","0.3884663","0.028114088","0.55116165","-1.8262652","0.022427488","1.5750936","0","1","1.0220683","0","18.759978"
"18799978","2.0252318","0.3648584","0.029171938","0.57190025","-1.7864941","0.032813374","1.6034968","0","1","0.98159444","0","18.799978"
"18839978","1.925221","0.34351292","0.029510586","0.57853925","-1.7458094","0.0064017917","1.5976636","-0","1","0.94272333","0","18.839978"
"18879978","1.9501966","0.32684138","0.029629152","0.5808637","-1.7051241","0.00444774","1.589455","-0","1","0.9053916","0","18.879978"
"18919978","1.9501598","0.3173465","0.02970412","0.5823334","-1.6643143","0.0026346364","1.5851126","-0","1","0.86953807","0","18.919978"
"18959978","1.8501192","0.31606224","0.028851738","0.5656229","-1.6244032","-0.0228082","1.5443023","-0","1","0.8494241","0","18.959978"
"18999978","1.9500805","0.3235456","0.029122584","0.5709327","-1.5844313","0.0029341981","1.5624651","0","1","0.834174","0","18.999978"
"19039978","1.9500464","0.29446626","0.029895753","0.5860902","-1.5433239","0.012669986","1.569612","0","1","0.8416678","0","19.039978"
"19079978","1.825022","0.31299585","0.028671762","0.56209457","-1.5035368","-0.031800672","1.5302588","-0","1","0.8815995","0","19.079978"
"19119978","1.8250083","0.33403635","0.02781978","0.5453919","-1.465027","-0.028897058","1.5094976","-0","1","0.9298369","0","19.119978"
"19159978","1.7000017","0.35624197","0.026566733","0.5208266","-1.427881","-0.04801194","1.4704959","-0","1","0.9742926","0","19.159978"
"19199978","1.725","0.37693012","0.025511378","0.500137","-1.3924938","-0.036646094","1.4404988","-0","1","1.015263","0","19.199978"
