"TimeUS","Tar","Act","Err","P","I","D","FF","DFF","Dmod","SRate","Flags","ap_time_s"
"5839978","11.041257","11.281703","0.010211572","0.04917597","0","0.0033179002","3.6839259","-0","1","11.670448","9","5.839978"
"5879978","10.471513","10.616923","0.01172097","0.056444794","0","0.0030990916","3.501791","-0","1","11.2083","9","5.879978"
"5919978","9.901768","9.999823","0.012464955","0.060027607","0","0.0016238078","3.3218422","-0","1","10.76445","9","5.919978"
"5959978","9.312377","9.454863","0.011851862","0.05707513","0","-0.0011512707","3.1414227","-0","1","10.338179","9","5.959978"
"5999978","8.742632","8.9954815","0.009663522","0.04653672","0","-0.0043081115","2.9620974","-0","1","9.928787","9","5.999978"
"6039978","8.153242","8.625475","0.0054887533","0.026432244","0","-0.0083632","2.7796805","-0","1","9.535607","9","6.039978"
"6079978","7.5834966","8.33976","0.00010305643","0.00049628987","0","-0.010956054","2.601524","-0","1","9.157997","9","6.079978"
"6119978","7.0137525","8.125442","-0.006686181","-0.03219871","0","-0.013644773","2.422408","-0","1","8.7953415","9","6.119978"
"6159978","6.444008","7.9652486","-0.014667973","-0.070636705","0","-0.015829919","2.2436578","-0","1","8.447046","9","6.159978"
"6199978","5.913556","7.842097","-0.022766665","-0.109637655","0","-0.016523793","2.0714118","-0","1","8.112543","9","6.199978"
"6239978","5.4027505","7.73782","-0.031177312","-0.1501409","0","-0.017392136","1.9039","-0","1","7.7912865","9","6.239978"
"6279978","4.9312377","7.634093","-0.038714133","-0.18643603","0","-0.015695814","1.7471247","-0","1","7.4827514","9","6.279978"
"6319978","4.4990177","7.51334","-0.045381106","-0.21854225","0","-0.013842469","1.5993804","-0","1","7.1864347","9","6.319978"
"6359978","4.10609","7.3604264","-0.05109357","-0.24605182","0","-0.011544392","1.4618658","-0","1","6.901852","9","6.359978"
"6399978","3.772102","7.163441","-0.054825857","-0.26402542","0","-0.007940873","1.3387197","-0","1","6.628539","9","6.399978"
"6439978","3.5166993","6.917047","-0.056865096","-0.2738458","0","-0.0046352125","1.2326065","-0","1","6.366049","9","6.439978"
"6479978","3.3005893","6.62029","-0.056528382","-0.2722243","0","0.0002070229","1.145129","-0","1","6.1139536","9","6.479978"
"6519978","3.123772","6.275668","-0.054433264","-0.2621348","0","0.003988489","1.0715762","-0","1","5.871841","9","6.519978"
"6559978","2.9862475","5.8902884","-0.051163636","-0.24638924","0","0.0069866558","1.0109257","-0","1","5.639316","9","6.559978"
"6599978","2.868369","5.4745035","-0.046139102","-0.22219254","0","0.009963184","0.96275735","-0","1","5.4159994","9","6.599978"
"6639978","2.8094301","5.040107","-0.04036478","-0.19438507","0","0.011554939","0.92530286","-0","1","5.2015257","9","6.639978"
"6679978","2.7897837","4.5991955","-0.033251848","-0.16013126","0","0.014293533","0.9030329","-0","1","4.995546","9","6.679978"
"6719978","2.7897837","4.1651807","-0.025628965","-0.12342166","0","0.015484713","0.8912878","-0","1","4.7977223","9","6.719978"
"6759978","2.7897837","3.7522547","-0.018231336","-0.08779683","0","0.015386423","0.88499826","-0","1","4.607733","9","6.759978"
"6799978","2.7897837","3.372923","-0.011071529","-0.053317275","0","0.014701415","0.88247925","-0","1","4.4252667","9","6.799978"
"6839978","2.7897837","3.038435","-0.0048449524","-0.023331884","0","0.012824369","0.8805221","0","1","4.250026","9","6.839978"
"6879978","2.7897837","2.7596831","0.00056362525","0.0027142556","0","0.011171134","0.8807942","0","1","4.081725","9","6.879978"
"6919978","2.7897837","2.5423794","0.004775729","0.022998527","0","0.008831662","0.8809379","0","1","3.920089","9","6.919978"
"6959978","2.7504911","2.387749","0.0073852427","0.035565186","0","0.0057963287","0.8762513","-0","1","3.7648537","9","6.959978"
"6999978","2.7111983","2.2957582","0.008730248","0.04204234","0","0.0029821352","0.86903447","-0","1","3.6157658","9","6.999978"
"7039978","2.6522593","2.2660174","0.008492455","0.040897198","0","-0.00034163118","0.85688037","-0","1","3.4725816","9","7.039978"
"7079978","2.5540273","2.2940407","0.0068167783","0.032827627","0","-0.0032860748","0.83852935","-0","1","3.3350675","9","7.079978"
"7119978","2.4557958","2.372054","0.0037932284","0.018267088","0","-0.0060066264","0.81412435","-0","1","3.202999","9","7.119978"
"7159978","2.3379173","2.4886966","-0.0005014725","-0.0024149462","0","-0.008381176","0.7833768","-0","1","3.0761604","9","7.159978"
"7199978","2.2200394","2.632084","-0.0053377077","-0.025704851","0","-0.009806363","0.7505654","-0","1","2.9543443","9","7.199978"
"7239978","2.0825145","2.7925951","-0.010928787","-0.05262987","0","-0.01149663","0.71312195","-0","1","2.8373525","9","7.239978"
"7279978","1.9646366","2.9598358","-0.016533349","-0.07961981","0","-0.011523284","0.675731","-0","1","2.7249932","9","7.279978"
"7319978","1.8074656","3.1238859","-0.02236899","-0.10772257","0","-0.01194857","0.63358414","-0","1","2.6170835","9","7.319978"
"7359978","1.669941","3.275707","-0.028272059","-0.13615003","0","-0.01186499","0.5904437","-0","1","2.5134473","9","7.359978"
"7399978","1.5520627","3.4069965","-0.033407018","-0.16087851","0","-0.010647895","0.5495258","-0","1","2.4139147","9","7.399978"
"7439978","1.4145383","3.5103986","-0.03855465","-0.185668","0","-0.010798888","0.50619066","-0","1","2.3183239","9","7.439978"
"7479978","1.3163064","3.580831","-0.042194325","-0.20319563","0","-0.007893267","0.4702691","-0","1","2.2265184","9","7.479978"
"7519978","1.2180747","3.6155894","-0.04499252","-0.21667093","0","-0.005986513","0.4364326","-0","1","2.1383483","9","7.519978"
"7559978","1.1591355","3.6139297","-0.047208235","-0.22734118","0","-0.004159344","0.4069631","-0","1","2.0536697","9","7.559978"
"7599978","1.1001965","3.5764601","-0.047935203","-0.23084202","0","-0.0017046656","0.38325563","-0","1","1.9723445","9","7.599978"
"7639978","1.0609037","3.5047581","-0.04808092","-0.23154378","0","-0.00067911844","0.36418226","-0","1","1.8942397","9","7.639978"
"7679978","1.021611","3.4026124","-0.046949305","-0.22609425","0","0.0019686753","0.349262","-0","1","1.8192279","9","7.679978"
"7719978","1.0019646","3.2762434","-0.045073923","-0.21706295","0","0.003619644","0.33839443","-0","1","1.7471865","9","7.719978"
"7759978","1.021611","3.1324673","-0.04286796","-0.20643966","0","0.004876829","0.33430782","-0","1","1.6779981","9","7.759978"
"7799978","1.0412573","2.978465","-0.03970556","-0.19121045","0","0.00635913","0.3346451","0","1","1.6115494","9","7.799978"
"7839978","1.0609037","2.820759","-0.036670014","-0.17659216","0","0.0060485997","0.3372842","0","1","1.5477321","9","7.839978"
"7879978","1.0805501","2.6651998","-0.033122677","-0.15950921","0","0.0071291965","0.3428433","0","1","1.486442","9","7.879978"
"7919978","1.1001965","2.5170338","-0.029622056","-0.14265123","0","0.00709369","0.35006917","0","1","1.4275789","9","7.919978"
"7959978","1.1394892","2.338131","-0.025731402","-0.123914964","0","0.008815505","0.358611","0","1","1.3710469","9","7.959978"
"7999978","1.1787819","2.216965","-0.022497814","-0.108342946","0","0.006937693","0.3699969","0","1","1.3167534","9","7.999978"
"8039978","1.2180747","2.115125","-0.01990302","-0.09584717","0","0.005300539","0.38145915","0","1","1.26461","9","8.039978"
"8079978","1.237721","2.037205","-0.017530574","-0.08442216","0","0.0047560786","0.39316326","0","1","1.2145317","9","8.079978"
"8119978","1.2573674","1.986208","-0.01587858","-0.076466635","0","0.0034348748","0.4023833","0","1","1.1664362","9","8.119978"
"8159978","1.2573674","1.9628974","-0.0153403785","-0.07387482","0","0.0015988087","0.4071698","0","1","1.1202453","9","8.159978"
"8199978","1.2573674","1.9657236","-0.015177615","-0.07309099","0","0.0004109776","0.41064754","0","1","1.0758836","9","8.199978"
"8239978","1.237721","1.9925008","-0.016158681","-0.07781552","0","-0.0019610985","0.40852514","0","1","1.0332787","9","8.239978"
"8279978","1.2180747","2.0407455","-0.01733743","-0.08349203","0","-0.0024128207","0.4061581","-0","1","0.99236083","9","8.279978"
"8319978","1.1787819","2.1074672","-0.019149572","-0.09221878","0","-0.0036316593","0.400052","-0","1","0.95306337","9","8.319978"
"8359978","1.1394892","2.187672","-0.021810774","-0.105034366","0","-0.004929669","0.39053485","-0","1","0.91532207","9","8.359978"
"8399978","1.0805501","2.2771459","-0.024505049","-0.11800922","0","-0.0055777","0.37859204","-0","1","0.8790753","9","8.399978"
"8439978","1.021611","2.3714714","-0.028088989","-0.13526842","0","-0.007583264","0.3619469","-0","1","0.844264","9","8.439978"
"8479978","0.9626719","2.4663713","-0.031195749","-0.15022968","0","-0.0066494932","0.3459069","-0","1","0.8463011","9","8.479978"
"8519978","0.9037328","2.5577958","-0.034340557","-0.16537416","0","-0.006534315","0.32811683","-0","1","0.83798325","9","8.519978"
